id_pesquisa,id_cliente,data_resposta,trimestre_ref,segmento_declarado,produto,canal,tempo_relacionamento,nota_satisfacao,comentario,trimestre,nota_media_atendimento,qtd_atendimentos,reclamacoes_90d,tempo_medio_resolucao,acessos_app_30d,suitability_pendente
FD00033,410,2025-07-08,2025T3,Private,Fundos,Assessoria,2-5 anos,7,Demorou um pouco para encontrar informacoes,2025Q3,7.0,1.0,0.0,34.7,2.0,0.0
FD00034,143,2025-07-29,2025T3,Alta Renda,Tesouro Direto,,6-24 meses,10,Consegui acompanhar minha carteira,2025Q3,,0.0,0.0,17.2,3.0,0.0
FD00035,290,2025-12-08,2025T3,Varejo,Fundos,Internet Banking,2-5 anos,7,Tive duvida sobre rentabilidade,2025Q3,,0.0,0.0,15.7,6.0,0.0
FD00036,545,2025-09-28,2025T3,Varejo,COE,App,5+ anos,9,Consegui acompanhar minha carteira,2025Q3,7.0,1.0,1.0,20.9,9.0,0.0
FD00037,58,2025-08-29,2025T3,Private,Fundos,App,2-5 anos,9,Informacoes estavam faceis de encontrar,2025Q3,,0.0,0.0,10.299999999999999,14.0,0.0
FD00038,146,2025-09-30,2025T3,Private,Carteira Administrada,Assessoria,6-24 meses,10,Informacoes estavam faceis de encontrar,2025Q3,,0.0,0.0,26.4,8.0,1.0
FD00039,203,2025-01-07,2025T3,Private,CDB,App,0-6 meses,8,Tive duvida sobre rentabilidade,2025Q3,,0.0,0.0,13.75,11.0,0.0
FD00040,470,2025-08-24,2025T3,Novo Investidor,Carteira Administrada,App,6-24 meses,6,Nao consegui falar com assessor,2025Q3,,0.0,0.0,42.5,15.0,0.0
FD00041,264,2025-07-26,2025T3,Alta Renda,Tesouro Direto,Assessoria,6-24 meses,10,Informacoes estavam faceis de encontrar,2025Q3,,0.0,0.0,18.3,2.0,0.0
FD00042,211,2025-03-08,2025T3,Alta Renda,Tesouro Direto,Central de Atendimento,5+ anos,9,Consegui acompanhar minha carteira,2025Q3,,0.0,0.0,24.6,3.0,0.0
FD00043,49,2025-08-21,2025T3,Alta Renda,CDB,Central de Atendimento,6-24 meses,10,Boa experiencia no aplicativo,2025Q3,9.0,1.0,0.0,19.05,7.0,0.0
FD00044,44,2025-09-23,2025T3,Novo Investidor,Tesouro Direto,Internet Banking,2-5 anos,7,Demorou um pouco para encontrar informacoes,2025Q3,,0.0,1.0,44.5,6.0,0.0
FD00045,412,2025-08-18,2025T3,Novo Investidor,Tesouro Direto,Internet Banking,6-24 meses,5,Informacoes divergentes sobre o produto,2025Q3,6.0,1.0,0.0,38.7,4.0,0.0
FD00046,50,2025-07-30,2025T3,Private,Tesouro Direto,App,6-24 meses,9,Boa experiencia no aplicativo,2025Q3,8.0,1.0,0.0,3.6,8.0,0.0
FD00047,529,2025-08-16,2025T3,Private,Tesouro Direto,Internet Banking,2-5 anos,10,Consegui acompanhar minha carteira,2025Q3,,0.0,0.0,6.25,20.0,0.0
FD00048,195,2025-08-07,2025T3,Alta Renda,Tesouro Direto,App,5+ anos,9,Assessoria ajudou na decisao,2025Q3,8.0,1.0,0.0,,0.0,0.0
FD00049,409,2025-09-25,2025T3,Novo Investidor,Tesouro Direto,App,5+ anos,7,"Atendimento resolveu, mas demorou",2025Q3,,0.0,0.0,33.4,7.0,0.0
FD00050,121,2025-09-25,2025T3,Varejo,Carteira Administrada,App,2-5 anos,9,Consegui acompanhar minha carteira,2025Q3,,0.0,1.0,38.3,8.0,0.0
FD00051,112,2025-08-07,2025T3,Private,CDB,Assessoria,0-6 meses,10,Boa experiencia no aplicativo,2025Q3,,0.0,0.0,,0.0,0.0
FD00052,520,2025-06-08,2025T3,Private,Fundos,Assessoria,0-6 meses,7,Aplicativo poderia explicar melhor,2025Q3,,0.0,0.0,,0.0,0.0
FD00053,254,2025-09-23,2025T3,Alta Renda,Tesouro Direto,App,0-6 meses,10,Informacoes estavam faceis de encontrar,2025Q3,8.0,1.0,0.0,12.175,36.0,0.0
FD00054,373,2025-07-20,2025T3,Private,Fundos,App,6-24 meses,8,Aplicativo poderia explicar melhor,2025Q3,,0.0,0.0,5.7,15.0,0.0
FD00055,328,2025-09-07,2025T3,Varejo,Tesouro Direto,App,6-24 meses,7,Demorou um pouco para encontrar informacoes,2025Q3,,0.0,0.0,,0.0,0.0
FD00056,180,2025-08-28,2025T3,Private,COE,Assessoria,5+ anos,10,Boa experiencia no aplicativo,2025Q3,,0.0,0.0,48.7,5.0,0.0
FD00057,414,2025-07-25,2025T3,Varejo,Tesouro Direto,App,6-24 meses,10,Assessoria ajudou na decisao,2025Q3,,0.0,0.0,,0.0,0.0
FD00058,72,2025-09-25,2025T3,Private,Carteira Administrada,Central de Atendimento,2-5 anos,9,Atendimento claro e rapido,2025Q3,,0.0,0.0,,0.0,0.0
FD00059,94,2025-06-08,2025T3,Varejo,Tesouro Direto,Assessoria,2-5 anos,9,Boa experiencia no aplicativo,2025Q3,,0.0,0.0,,0.0,0.0
FD00060,514,2025-06-07,2025T3,Varejo,CDB,App,2-5 anos,10,Boa experiencia no aplicativo,2025Q3,,0.0,0.0,13.1,11.0,0.0
FD00061,372,2025-09-23,2025T3,Private,Fundos,App,6-24 meses,10,Informacoes estavam faceis de encontrar,2025Q3,,0.0,0.0,26.2,8.0,1.0
FD00062,61,2025-05-08,2025T3,Alta Renda,CDB,App,2-5 anos,9,Assessoria ajudou na decisao,2025Q3,,0.0,1.0,35.8,11.0,0.0
FD00063,335,2025-08-23,2025T3,Private,Carteira Administrada,App,2-5 anos,8,Aplicativo poderia explicar melhor,2025Q3,,0.0,0.0,28.6,9.0,1.0
FD00064,383,2025-07-20,2025T3,Varejo,COE,Assessoria,0-6 meses,9,Informacoes estavam faceis de encontrar,2025Q3,,0.0,0.0,19.85,9.0,0.0
FD00065,219,2025-04-09,2025T3,Varejo,Carteira Administrada,Central de Atendimento,0-6 meses,10,Informacoes estavam faceis de encontrar,2025Q3,,0.0,0.0,25.7,4.0,0.0
FD00066,7,2025-08-08,2025T3,Private,Fundos,App,0-6 meses,9,Atendimento claro e rapido,2025Q3,,0.0,0.0,3.4,4.0,0.0
FD00067,493,2025-08-13,2025T3,Private,CDB,Central de Atendimento,5+ anos,9,Consegui acompanhar minha carteira,2025Q3,,0.0,0.0,16.75,10.0,0.0
FD00068,365,2025-09-18,2025T3,Novo Investidor,Carteira Administrada,Internet Banking,5+ anos,9,Atendimento claro e rapido,2025Q3,,0.0,0.0,,0.0,0.0
FD00069,258,2025-07-25,2025T3,Varejo,Carteira Administrada,Internet Banking,5+ anos,8,"Atendimento resolveu, mas demorou",2025Q3,,0.0,0.0,46.2,5.0,0.0
FD00070,147,2025-07-16,2025T3,Varejo,Fundos,App,5+ anos,9,Assessoria ajudou na decisao,2025Q3,,0.0,0.0,32.3,6.0,0.0
FD00071,5,2025-09-07,2025T3,Private,Fundos,Central de Atendimento,6-24 meses,10,,2025Q3,10.0,1.0,0.0,29.96666666666667,25.0,1.0
FD00072,457,2025-07-18,2025T3,Private,Tesouro Direto,Assessoria,2-5 anos,9,Boa experiencia no aplicativo,2025Q3,10.0,1.0,1.0,28.8,9.0,0.0
FD00073,404,2025-03-07,2025T3,Varejo,Fundos,App,2-5 anos,10,Atendimento claro e rapido,2025Q3,,0.0,0.0,,0.0,0.0
FD00074,287,2025-09-24,2025T3,Alta Renda,Fundos,App,6-24 meses,10,Informacoes estavam faceis de encontrar,2025Q3,,0.0,0.0,20.4,9.0,0.0
FD00075,178,2025-11-08,2025T3,Alta Renda,Carteira Administrada,Internet Banking,5+ anos,9,Boa experiencia no aplicativo,2025Q3,,0.0,0.0,53.7,7.0,0.0
FD00076,333,2025-08-15,2025T3,Private,CDB,App,6-24 meses,1,Demora para resolver meu problema,2025Q3,,0.0,0.0,17.6,11.0,0.0
FD00077,436,2025-10-07,2025T3,Varejo,Tesouro Direto,App,0-6 meses,10,Informacoes estavam faceis de encontrar,2025Q3,10.0,1.0,1.0,27.4,6.0,0.0
FD00078,1,2025-07-30,2025T3,Alta Renda,Tesouro Direto,Assessoria,5+ anos,10,Informacoes estavam faceis de encontrar,2025Q3,10.0,1.0,0.0,23.200000000000003,10.0,0.0
FD00079,271,2025-07-15,2025T3,Varejo,Fundos,App,6-24 meses,1,Nao consegui falar com assessor,2025Q3,,0.0,0.0,,0.0,0.0
FD00080,10,2025-08-09,2025T3,Varejo,CDB,Central de Atendimento,5+ anos,7,"Experiencia ok, mas poderia ser mais simples",2025Q3,6.0,1.0,0.0,20.5,7.0,0.0
FD00081,297,2025-04-07,2025T3,Varejo,Fundos,Central de Atendimento,6-24 meses,6,Informacoes divergentes sobre o produto,2025Q3,,0.0,0.0,,0.0,0.0
FD00082,242,2025-08-26,2025T3,Novo Investidor,Fundos,Internet Banking,6-24 meses,9,Atendimento claro e rapido,2025Q3,,0.0,0.0,,0.0,0.0
FD00083,202,2025-08-18,2025T3,Private,Fundos,App,2-5 anos,10,Informacoes estavam faceis de encontrar,2025Q3,,0.0,0.0,6.6,10.0,0.0
FD00084,79,2025-07-17,2025T3,Alta Renda,Tesouro Direto,App,0-6 meses,10,Atendimento claro e rapido,2025Q3,,0.0,0.0,23.049999999999997,25.0,0.0
FD00085,390,2025-07-14,2025T3,Varejo,CDB,App,5+ anos,10,Atendimento claro e rapido,2025Q3,,0.0,0.0,,0.0,0.0
FD00086,496,2025-09-14,2025T3,Alta Renda,Tesouro Direto,App,0-6 meses,9,Boa experiencia no aplicativo,2025Q3,,0.0,0.0,18.0,9.0,0.0
FD00087,106,2025-07-08,2025T3,Private,COE,Assessoria,6-24 meses,9,Assessoria ajudou na decisao,2025Q3,,0.0,0.0,21.1,4.0,0.0
FD00088,439,2025-07-09,2025T3,Varejo,Tesouro Direto,App,5+ anos,10,Boa experiencia no aplicativo,2025Q3,,0.0,0.0,25.7,14.0,0.0
FD00089,214,2025-09-08,2025T3,Private,Carteira Administrada,App,2-5 anos,8,Aplicativo poderia explicar melhor,2025Q3,,0.0,0.0,27.4,6.0,0.0
FD00090,398,2025-08-28,2025T3,Alta Renda,CDB,Assessoria,5+ anos,8,Tive duvida sobre rentabilidade,2025Q3,,0.0,0.0,25.1,6.0,0.0
FD00091,436,2025-07-08,2025T3,Varejo,Carteira Administrada,Internet Banking,6-24 meses,8,Tive duvida sobre rentabilidade,2025Q3,10.0,1.0,1.0,27.4,6.0,0.0
FD00092,266,2025-01-08,2025T3,Varejo,COE,App,6-24 meses,0,Nao consegui falar com assessor,2025Q3,,0.0,0.0,,0.0,0.0
FD00093,545,2025-08-08,2025T3,Varejo,CDB,Assessoria,6-24 meses,7,Demorou um pouco para encontrar informacoes,2025Q3,7.0,1.0,1.0,20.9,9.0,0.0
FD00094,381,2025-02-09,2025T3,Private,Tesouro Direto,Internet Banking,2-5 anos,9,Informacoes estavam faceis de encontrar,2025Q3,10.0,1.0,0.0,,0.0,0.0
FD00095,374,2025-01-09,2025T3,Varejo,CDB,Assessoria,6-24 meses,10,Atendimento claro e rapido,2025Q3,,0.0,0.0,15.3,3.0,0.0
FD00096,206,2025-06-09,2025T3,Private,Fundos,Assessoria,6-24 meses,10,Boa experiencia no aplicativo,2025Q3,,0.0,0.0,,0.0,0.0
FD00097,68,2025-09-20,2025T3,Varejo,CDB,Internet Banking,5+ anos,10,Consegui acompanhar minha carteira,2025Q3,,0.0,0.0,8.0,6.0,0.0
FD00098,34,2025-07-07,2025T3,Novo Investidor,COE,Assessoria,0-6 meses,10,Informacoes estavam faceis de encontrar,2025Q3,,0.0,0.0,,0.0,0.0
FD00099,445,2025-08-15,2025T3,Varejo,Tesouro Direto,Assessoria,2-5 anos,9,Boa experiencia no aplicativo,2025Q3,,0.0,0.0,24.4,9.0,0.0
FD00100,533,2025-09-13,2025T3,Novo Investidor,CDB,Assessoria,6-24 meses,10,Boa experiencia no aplicativo,2025Q3,,0.0,0.0,,0.0,0.0
FD00101,6,2025-08-25,2025T3,Private,Fundos,Internet Banking,6-24 meses,10,Atendimento claro e rapido,2025Q3,,0.0,1.0,28.3,3.0,0.0
FD00102,54,2025-03-07,2025T3,Novo Investidor,Tesouro Direto,Internet Banking,6-24 meses,9,Boa experiencia no aplicativo,2025Q3,,0.0,0.0,,0.0,0.0
FD00103,57,2025-07-24,2025T3,Private,Fundos,Assessoria,6-24 meses,10,Atendimento claro e rapido,2025Q3,10.0,2.0,1.0,19.566666666666666,16.0,0.0
FD00104,273,2025-08-22,2025T3,Varejo,Tesouro Direto,Central de Atendimento,0-6 meses,10,Atendimento claro e rapido,2025Q3,9.0,1.0,2.0,39.0,2.0,0.0
FD00105,480,2025-07-24,2025T3,Alta Renda,Tesouro Direto,App,5+ anos,7,Tive duvida sobre rentabilidade,2025Q3,7.0,1.0,0.0,,0.0,0.0
FD00106,270,2025-09-22,2025T3,Alta Renda,Carteira Administrada,App,6-24 meses,9,Assessoria ajudou na decisao,2025Q3,,0.0,0.0,29.35,17.0,0.0
FD00107,174,2025-09-26,2025T3,Private,Tesouro Direto,App,6-24 meses,9,Informacoes estavam faceis de encontrar,2025Q3,,0.0,0.0,,0.0,0.0
FD00108,140,2025-07-08,2025T3,Novo Investidor,CDB,App,6-24 meses,7,Aplicativo poderia explicar melhor,2025Q3,,0.0,0.0,33.0,8.0,1.0
FD00109,468,2025-09-26,2025T3,Varejo,Carteira Administrada,Assessoria,0-6 meses,10,,2025Q3,10.0,1.0,0.0,23.4,6.0,0.0
FD00110,203,2025-02-08,2025T3,Private,Fundos,App,2-5 anos,9,Assessoria ajudou na decisao,2025Q3,,0.0,0.0,13.75,11.0,0.0
FD00111,357,2025-02-08,2025T3,Private,Tesouro Direto,App,5+ anos,9,Boa experiencia no aplicativo,2025Q3,9.0,1.0,0.0,12.2,14.0,0.0
FD00112,90,2025-07-15,2025T3,Alta Renda,Tesouro Direto,Central de Atendimento,6-24 meses,10,Atendimento claro e rapido,2025Q3,,0.0,0.0,20.4,7.0,0.0
FD00113,375,2025-06-07,2025T3,Private,CDB,Internet Banking,2-5 anos,9,Consegui acompanhar minha carteira,2025Q3,,0.0,0.0,26.1,16.0,0.0
FD00114,398,2025-09-22,2025T3,Alta Renda,CDB,Central de Atendimento,6-24 meses,5,Nao consegui falar com assessor,2025Q3,,0.0,0.0,25.1,6.0,0.0
FD00115,383,2025-07-26,2025T3,Varejo,CDB,Assessoria,2-5 anos,10,Atendimento claro e rapido,2025Q3,,0.0,0.0,19.85,9.0,0.0
FD00116,78,2025-12-07,2025T3,Private,CDB,App,0-6 meses,10,Atendimento claro e rapido,2025Q3,,0.0,0.0,,0.0,0.0
FD00117,332,2025-08-22,2025T3,Varejo,CDB,Central de Atendimento,2-5 anos,9,Consegui acompanhar minha carteira,2025Q3,,0.0,0.0,1.0,6.0,1.0
FD00118,98,2025-08-28,2025T3,Alta Renda,Fundos,Internet Banking,2-5 anos,10,Boa experiencia no aplicativo,2025Q3,,0.0,0.0,46.1,7.0,0.0
FD00119,159,2025-09-14,2025T3,Private,Fundos,App,0-6 meses,9,Boa experiencia no aplicativo,2025Q3,,0.0,0.0,20.2,19.0,0.0
FD00120,500,2025-07-20,2025T3,Novo Investidor,Tesouro Direto,Assessoria,2-5 anos,8,"Atendimento resolveu, mas demorou",2025Q3,7.0,1.0,0.0,36.9,7.0,0.0
FD00121,130,2025-04-09,2025T3,Alta Renda,Tesouro Direto,Internet Banking,2-5 anos,9,Assessoria ajudou na decisao,2025Q3,,0.0,0.0,9.2,9.0,0.0
FD00122,166,2025-03-07,2025T3,Varejo,Fundos,Central de Atendimento,2-5 anos,9,Consegui acompanhar minha carteira,2025Q3,,0.0,0.0,,0.0,0.0
FD00123,382,2025-09-25,2025T3,Varejo,Fundos,App,2-5 anos,8,Tive duvida sobre rentabilidade,2025Q3,,0.0,0.0,,0.0,0.0
FD00124,66,2025-08-29,2025T3,Alta Renda,Tesouro Direto,App,6-24 meses,9,Assessoria ajudou na decisao,2025Q3,8.0,1.0,0.0,,0.0,0.0
FD00125,517,2025-09-27,2025T3,Alta Renda,Fundos,Internet Banking,5+ anos,10,Atendimento claro e rapido,2025Q3,,0.0,0.0,15.8,5.0,0.0
FD00126,38,2025-08-14,2025T3,Private,Fundos,App,6-24 meses,9,Informacoes estavam faceis de encontrar,2025Q3,,0.0,0.0,21.6,4.0,0.0
FD00127,11,2025-09-14,2025T3,Private,Carteira Administrada,App,5+ anos,9,Atendimento claro e rapido,2025Q3,8.0,1.0,1.0,44.3,9.0,0.0
FD00128,232,2025-09-22,2025T3,Alta Renda,CDB,Internet Banking,6-24 meses,9,Boa experiencia no aplicativo,2025Q3,,0.0,0.0,13.8,6.0,0.0
FD00129,387,2025-08-25,2025T3,Alta Renda,Tesouro Direto,App,2-5 anos,10,Assessoria ajudou na decisao,2025Q3,10.0,1.0,0.0,6.9,8.0,0.0
FD00130,389,2025-06-08,2025T3,Varejo,CDB,App,5+ anos,9,Boa experiencia no aplicativo,2025Q3,,0.0,0.0,19.9,12.0,0.0
FD00131,354,2025-08-20,2025T3,Private,CDB,App,0-6 meses,4,Nao entendi a cobranca,2025Q3,7.5,2.0,0.0,18.7,8.0,1.0
FD00132,142,2025-08-19,2025T3,Private,COE,Central de Atendimento,5+ anos,10,Assessoria ajudou na decisao,2025Q3,10.0,1.0,0.0,15.0,4.0,0.0
FD00133,1,2025-07-23,2025T3,Alta Renda,CDB,App,0-6 meses,10,Assessoria ajudou na decisao,2025Q3,10.0,1.0,0.0,23.200000000000003,10.0,0.0
FD00134,214,2025-01-07,2025T3,Private,Fundos,App,2-5 anos,10,Assessoria ajudou na decisao,2025Q3,,0.0,0.0,27.4,6.0,0.0
FD00135,238,2025-09-28,2025T3,Private,CDB,Central de Atendimento,6-24 meses,10,Assessoria ajudou na decisao,2025Q3,10.0,1.0,0.0,,0.0,0.0
FD00136,516,2025-09-29,2025T3,Private,CDB,Assessoria,5+ anos,8,"Atendimento resolveu, mas demorou",2025Q3,,0.0,0.0,2.3,3.0,0.0
FD00137,138,2025-07-09,2025T3,Varejo,Fundos,App,2-5 anos,9,Boa experiencia no aplicativo,2025Q3,9.0,1.0,0.0,16.2,17.0,0.0
FD00138,283,2025-09-27,2025T3,Alta Renda,CDB,Internet Banking,5+ anos,10,Boa experiencia no aplicativo,2025Q3,,0.0,0.0,16.2,3.0,0.0
FD00139,55,2025-04-07,2025T3,Varejo,Fundos,Assessoria,2-5 anos,4,Aplicativo travou durante consulta,2025Q3,,0.0,0.0,,0.0,0.0
FD00140,436,2025-09-26,2025T3,Varejo,Fundos,Assessoria,6-24 meses,10,Atendimento claro e rapido,2025Q3,10.0,1.0,1.0,27.4,6.0,0.0
FD00141,267,2025-07-19,2025T3,Varejo,Tesouro Direto,Internet Banking,6-24 meses,10,Atendimento claro e rapido,2025Q3,10.0,1.0,0.0,28.7,4.0,0.0
FD00142,47,2025-10-09,2025T3,Alta Renda,CDB,App,2-5 anos,9,Informacoes estavam faceis de encontrar,2025Q3,,0.0,0.0,,0.0,0.0
FD00143,449,2025-08-09,2025T3,Alta Renda,Tesouro Direto,App,5+ anos,7,Aplicativo poderia explicar melhor,2025Q3,,0.0,0.0,38.5,11.0,0.0
FD00144,422,2025-07-15,2025T3,Varejo,CDB,App,6-24 meses,9,Boa experiencia no aplicativo,2025Q3,,0.0,0.0,17.5,12.0,0.0
FD00145,49,2025-09-18,2025T3,Alta Renda,Fundos,Internet Banking,2-5 anos,10,Informacoes estavam faceis de encontrar,2025Q3,9.0,1.0,0.0,19.05,7.0,0.0
FD00146,76,2025-09-24,2025T3,Varejo,CDB,Central de Atendimento,6-24 meses,10,Boa experiencia no aplicativo,2025Q3,,0.0,0.0,,0.0,0.0
FD00147,57,2025-07-28,2025T3,Private,Fundos,App,2-5 anos,10,Informacoes estavam faceis de encontrar,2025Q3,10.0,2.0,1.0,19.566666666666666,16.0,0.0
FD00148,57,2025-09-27,2025T3,Private,Fundos,Internet Banking,2-5 anos,9,Boa experiencia no aplicativo,2025Q3,10.0,2.0,1.0,19.566666666666666,16.0,0.0
FD00149,355,2025-11-08,2025T3,Private,Carteira Administrada,Assessoria,6-24 meses,9,Atendimento claro e rapido,2025Q3,8.0,1.0,0.0,,0.0,0.0
FD00150,519,2025-08-14,2025T3,Novo Investidor,Tesouro Direto,App,2-5 anos,7,Tive duvida sobre rentabilidade,2025Q3,8.0,1.0,0.0,18.3,13.0,0.0
FD00151,532,2025-09-07,2025T3,Novo Investidor,Fundos,Assessoria,2-5 anos,3,Aplicativo travou durante consulta,2025Q3,,0.0,0.0,,0.0,0.0
FD00152,32,2025-09-29,2025T3,Private,Tesouro Direto,Central de Atendimento,2-5 anos,10,Informacoes estavam faceis de encontrar,2025Q3,,0.0,1.0,29.9,15.0,0.0
FD00153,62,2025-05-08,2025T3,Private,Carteira Administrada,App,0-6 meses,9,Assessoria ajudou na decisao,2025Q3,8.0,1.0,0.0,54.4,9.0,0.0
FD00154,534,2025-07-21,2025T3,Alta Renda,CDB,App,0-6 meses,7,Aplicativo poderia explicar melhor,2025Q3,,0.0,0.0,17.25,15.0,0.0
FD00155,286,2025-09-16,2025T3,Private,Fundos,Internet Banking,2-5 anos,9,Consegui acompanhar minha carteira,2025Q3,,0.0,0.0,10.1,8.0,0.0
FD00156,169,2025-11-08,2025T3,Private,CDB,App,6-24 meses,10,Consegui acompanhar minha carteira,2025Q3,,0.0,0.0,33.9,7.0,0.0
FD00157,213,2025-09-28,2025T3,Varejo,Fundos,Central de Atendimento,6-24 meses,9,Consegui acompanhar minha carteira,2025Q3,,0.0,0.0,21.5,3.0,0.0
FD00158,409,2025-11-09,2025T3,Novo Investidor,Fundos,App,6-24 meses,8,Tive duvida sobre rentabilidade,2025Q3,,0.0,0.0,33.4,7.0,0.0
FD00159,255,2025-05-07,2025T3,Private,Tesouro Direto,App,0-6 meses,9,Assessoria ajudou na decisao,2025Q3,,0.0,0.0,26.7,8.0,0.0
FD00160,267,2025-08-27,2025T3,Varejo,CDB,Internet Banking,6-24 meses,7,"Experiencia ok, mas poderia ser mais simples",2025Q3,10.0,1.0,0.0,28.7,4.0,0.0
